브랜드,중분류,소분류,상품명,정가,할인가
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,HD 리퀴드 커버리지 파운데이션+더컬렉션아이섀도팔레트 SET,"15,900","25,500"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,블러쉬 박스 글로잉 & 멀티컬러 듀오,"12,800","18,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,HD 리퀴드 커버리지 파운데이션 듀오,"18,900","27,000"
캐트리스,색조 메이크업 아이,색조 메이크업 아이섀도우,블러쉬 박스 1+1,"11,000","16,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,올라운드 컨실러 1+1,"7,800","16,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 가루파우더,하이 글로우 미네랄 하이라이팅 파우더,"8,900","11,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,완벽베이스커버SET,"21,900","29,500"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,리퀴드 캐머플라지 하이 커버리지 컨실러 5ml,"5,200","8,500"
캐트리스,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,글로우도스코프 하이라이터 팔레트,"4,900","8,000"
캐트리스,뷰티 도구,픽싱 스프레이,프라임 앤 파인 픽싱 스프레이 50ml,"7,200","10,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 컨실러,HD 리퀴드 커버리지 프리시전 컨실러 2.5ml,"8,000", 
캐트리스,베이스 메이크업 제품,베이스 메이크업용 프라이머,라이트 코렉팅 세럼 프라이머,"4,500","9,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 프라이머,프라임 앤 파인 포어리스 블러 프라이머,"9,900","11,000"
캐트리스,기초 화장품,기초 화장용 오일/앰플,프라임 앤 파인 포어 리파이닝 안티-샤인 베이스,"9,000","10,000"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,24h 메이드 투 스테이 메이크업,"7,900","13,500"
캐트리스,베이스 메이크업 제품,베이스 메이크업용 파운데이션,올 매트 플러스 샤인 컨트롤 메이크업,"10,100","13,500"
